Stock_Date,open,high,low,close,volume,change,Tweet_Date,Positive,Negative,Total
10/22/2018,333.1,335.8,320.34,329.54,17097175,1,10/23/2018,950,292,1999
10/23/2018,318,336.58,316.77,333.16,14907326,0,10/24/2018,999,265,2019
10/24/2018,332.28,333,300.73,301.83,19039297,1,10/25/2018,897,267,1881
10/25/2018,307.12,319.94,305.25,312.87,13346921,0,10/26/2018,1193,388,2472
10/26/2018,300.51,313.99,292.3,299.83,19616041,0,10/27/2018,1016,331,2133
10/29/2018,305.26,307.89,275.4,284.84,21698841,1,10/30/2018,968,324,2050
10/30/2018,275.57,290.525,271.2093,285.81,23685702,1,10/31/2018,1111,308,2287
10/31/2018,297.77,311.5,295.05,301.78,20360342,1,11/1/2018,974,295,2144
11/1/2018,304.59,318.45,296.67,317.38,15121450,0,11/2/2018,927,272,1922
11/2/2018,318,321.88,308.33,309.1,13404646,1,11/3/2018,887,279,1786
11/5/2018,311.1,317.53,303.74,315.44,10283044,0,11/6/2018,743,208,1501
11/6/2018,314.76,320.22,305.3,310.84,9710424,1,11/7/2018,687,206,1431
11/7/2018,312.9,328.56,311,327.5,13328328,0,11/8/2018,862,252,1806
11/8/2018,328,332.0499,316.6103,317.92,11023853,0,11/9/2018,990,336,2129
11/9/2018,311.07,312.98,298.01,303.47,13480792,0,11/10/2018,871,276,1840
11/12/2018,300,302.49,290.63,294.07,10924827,0,11/13/2018,804,218,1625
11/13/2018,295,303.55,289.1,294.4,12232162,0,11/14/2018,809,199,1609
11/14/2018,300.4,301.84,278.2969,286.73,16853574,1,11/15/2018,730,204,1588
11/15/2018,285.51,292.5,282.16,290.06,9967098,0,11/16/2018,791,233,1716
11/16/2018,287.14,291.72,281,286.21,9099485,0,11/17/2018,841,202,1729
11/19/2018,283.79,285.09,269.15,270.6,12993797,1,11/20/2018,823,182,1640
11/20/2018,254.63,276.34,250,266.98,16693809,0,11/21/2018,797,235,1627
11/21/2018,274.42,275.34,261.51,262.13,11023037,0,11/22/2018,757,176,1493
11/23/2018,260.11,265.5,256.84,258.82,5245123,1,11/24/2018,744,200,1434
11/26/2018,260.55,266.25,253.8,261.43,12498560,1,11/27/2018,856,227,1729
11/27/2018,259.24,269.08,256.14,266.63,11149501,1,11/28/2018,1114,225,2069
11/28/2018,271.98,284,263.34,282.65,14801333,1,11/29/2018,719,192,1572
11/29/2018,282.32,290.49,275.5,288.75,15431538,0,11/30/2018,1705,683,3857
11/30/2018,288,290.81,283.061,286.13,11860117,0,12/1/2018,953,293,2026
