Data,1. open,2. high,3. low,4. close,5. volume
12/6/2018,133.82,139.7,133.67,139.63,27576314
12/4/2018,140.73,143.39,137.16,137.93,30307400
12/3/2018,143,143.6799,140.76,141.09,24819226
11/30/2018,138.26,140.966,137.36,140.61,25732577
11/29/2018,135.92,139.99,135.66,138.68,24238713
11/28/2018,136.28,136.7899,131.85,136.76,29847505
11/27/2018,135.75,136.6126,133.71,135,20750318
11/26/2018,133,137,132.78,136.38,24263640
11/23/2018,133.65,134.5,131.2551,131.73,11886128
11/21/2018,134.4,137.19,134.13,134.82,25469735
11/20/2018,127.03,134.1592,126.85,132.43,41939475
11/19/2018,137.61,137.75,131.21,131.55,44362729
11/16/2018,141.07,141.77,137.77,139.53,37250560
11/15/2018,142.33,144.84,140.83,143.85,30320280
11/14/2018,143.7,145.58,141.55,144.22,22068384
11/13/2018,142,144.88,141.62,142.16,15141710
11/12/2018,144.48,145.04,140.4899,141.55,18542123
11/9/2018,146.75,147.76,144.07,144.96,17326898
11/8/2018,150.49,150.94,146.74,147.87,24145814
11/7/2018,151.57,153.01,149.83,151.53,21877372
11/6/2018,149.31,150.97,148,149.94,16667124
11/5/2018,150.1,150.19,147.44,148.68,15969849
11/2/2018,151.8,154.13,148.96,150.35,24708695
11/1/2018,151.52,152.75,149.35,151.75,25640786
10/31/2018,155,156.4,148.96,151.79,60101251
10/30/2018,139.935,146.64,139.7419,146.22,50528278
10/29/2018,148.5,148.83,139.03,142.09,31336784
10/26/2018,145.82,149,143.8,145.37,31303341
10/25/2018,147.73,152.21,147,150.95,22105696
10/24/2018,154.28,154.65,145.6,146.04,27744597
10/23/2018,151.22,154.77,150.85,154.39,19095032
10/22/2018,154.76,157.34,154.46,154.78,15424658
10/19/2018,155.86,157.35,153.55,154.05,19761347
10/18/2018,158.51,158.66,153.28,154.92,21675084
10/17/2018,159.56,160.49,157.95,159.42,17592003
10/16/2018,155.4,159.46,155.01,158.78,19180095
10/15/2018,153.32,155.57,152.55,153.52,15433521
10/12/2018,156.73,156.89,151.2998,153.74,25293492
10/11/2018,150.13,154.81,149.16,153.35,35338901
10/10/2018,156.82,157.69,151.31,151.38,30609970
10/9/2018,157.69,160.59,157.42,157.9,18844425
10/8/2018,155.54,158.34,154.39,157.25,24045968
10/5/2018,159.21,160.9,156.2,157.33,25744047
10/4/2018,161.46,161.46,157.35,158.85,25739635
10/3/2018,160,163.66,159.53,162.43,23109456
10/2/2018,161.58,162.28,158.67,159.33,36030977
10/1/2018,163.03,165.88,161.26,162.44,26407677
9/28/2018,168.33,168.79,162.56,164.46,34265638
9/27/2018,167.55,171.77,167.21,168.84,27266856
9/26/2018,164.3,169.3,164.21,166.95,25252231
9/25/2018,161.99,165.59,161.15,164.91,27622806
9/24/2018,161.03,165.7,160.88,165.41,19222775
9/21/2018,166.64,167.25,162.81,162.93,45994800
9/20/2018,164.5,166.45,164.4722,166.02,18936038
9/19/2018,160.08,163.44,159.48,163.06,19628996
9/18/2018,159.39,161.7639,158.8656,160.3,22465236
9/17/2018,161.92,162.06,159.77,160.58,21005321
9/14/2018,161.715,162.84,160.34,162.32,21770405
9/13/2018,162,163.32,160.86,161.36,25453775
9/12/2018,163.25,164.49,161.8,162,24078118
9/11/2018,163.94,167.19,163.72,165.94,20457088
9/10/2018,163.51,165.01,162.16,164.18,20197680
9/7/2018,160.31,164.6269,160.16,163.04,24300600
9/6/2018,166.98,166.98,160,162.53,41514834
9/5/2018,169.49,171.125,166.67,167.18,31226744
9/4/2018,173.5,173.89,168.8,171.16,29808971
8/31/2018,177.15,177.62,174.9815,175.73,18065159
8/30/2018,175.9,179.7901,175.7,177.64,24216532
8/29/2018,176.295,176.79,174.75,175.9,18678301
8/28/2018,178.1,178.2399,175.83,176.26,15910675
8/27/2018,175.99,178.67,175.79,177.46,17921935
8/24/2018,173.7,174.82,172.92,174.645,14631556
8/23/2018,173.09,175.55,172.83,172.9,18053567
8/22/2018,172.21,174.24,172.13,173.64,16894083
8/21/2018,172.81,174.17,171.39,172.62,19578514
8/20/2018,174.04,174.57,170.91,172.5,21518006
8/17/2018,174.5,176.22,172.04,173.8,24893176
8/16/2018,180.42,180.5,174.01,174.7,31351784
8/15/2018,179.34,180.87,174.78,179.53,33020231
8/14/2018,180.71,181.99,178.62,181.11,19101995
8/13/2018,180.1,182.61,178.9,180.05,17423264
8/10/2018,182.04,182.1,179.42,180.26,21500410
8/9/2018,185.8492,186.57,182.48,183.09,19732120
8/8/2018,184.75,186.85,183.76,185.18,22205230
8/7/2018,186.5,188.3,183.72,183.81,33398562
8/6/2018,178.97,185.79,178.38,185.69,49716192
8/3/2018,177.69,178.85,176.15,177.78,24763434
8/2/2018,170.68,176.79,170.27,176.37,32399954
8/1/2018,173.93,175.08,170.9,171.65,34042109
7/31/2018,170.67,174.24,170,172.58,40356471
7/30/2018,175.3,175.3,166.56,171.06,65280787
7/27/2018,179.87,179.93,173,174.89,60073749
7/26/2018,174.89,180.13,173.75,176.26,169803668
7/25/2018,215.715,218.62,214.27,217.5,64592585
7/24/2018,215.11,216.2,212.6,214.67,28468681
7/23/2018,210.58,211.62,208.8,210.91,16731969
7/20/2018,208.85,211.5,208.5,209.94,16241508
7/19/2018,208.77,209.99,207.76,208.09,11350429
7/18/2018,209.82,210.99,208.44,209.36,15334907
7/17/2018,204.9,210.46,204.84,209.99,15349892
